ID	Timestamp	Emitter	Resources	Buildups	Text	Annotation	Comment
831	21:30:29:819	Server	 		william rolled a 1 and a 4.	 	 
832	21:30:29:820	Server	 		gotwood4sheep gets 2 ore. ljaybrad123 gets 2 ore. william gets 2 wood.	 	 
833	21:30:51:598	william	clay=2; ore=0; sheep=1; wheat=2; wood=3; unknown=0; knights=3; dev-cards=1	roads=[116,135; 135,134; 134,150; 150,166; 166,132]; settlements=[116,182; 182,148]; cities=[150,152]	can i get someone's clay for a wheat?	 	 
834	21:30:56:496	ljaybrad123	clay=1; ore=3; sheep=0; wheat=1; wood=0; unknown=0; knights=5; dev-cards=1	roads=[88,67; 67,105; 105,106; 106,71; 71,70; 70,107; 107,124; 124,140; 140,54; 54,37; 37,36]; cities=[84,105]	this is a long game guys....	 	 
835	21:30:56:880	gotwood4sheep	clay=0; ore=2; sheep=0; wheat=3; wood=1; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[184,205; 205,186]; cities=[154,156]	no clay here sorry	 	 
836	21:30:59:008	gotwood4sheep	clay=0; ore=2; sheep=0; wheat=3; wood=1; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[184,205; 205,186]; cities=[154,156]	yup	 	 
837	21:31:05:200	gotwood4sheep	clay=0; ore=2; sheep=0; wheat=3; wood=1; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[184,205; 205,186]; cities=[154,156]	bye bye steve zissou :(	 	 
838	21:31:06:378	ljaybrad123	clay=1; ore=3; sheep=0; wheat=1; wood=0; unknown=0; knights=5; dev-cards=1	roads=[88,67; 67,105; 105,106; 106,71; 71,70; 70,107; 107,124; 124,140; 140,54; 54,37; 37,36]; cities=[84,105]	nope	 	 
839	21:31:07:205	tomas.kostan	clay=0; ore=0; sheep=1; wheat=1; wood=0; unknown=0; knights=1; dev-cards=2	roads=[118,52; 52,69; 69,35; 35,34; 34,50; 50,66]; settlements=[118,52; 52,86; 86,50]	no clay in here either	 	 
840	21:31:09:004	Server	 		william made an offer to trade 1 wheat for 1 clay.	 	 
841	21:31:16:438	gotwood4sheep	clay=0; ore=2; sheep=0; wheat=3; wood=1; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[184,205; 205,186]; cities=[154,156]	sorry I said no clay,& I was yupping lj	 	 
842	21:31:21:542	gotwood4sheep	clay=0; ore=2; sheep=0; wheat=3; wood=1; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[184,205; 205,186]; cities=[154,156]	my bad for communicating with a yup :(	 	 
843	21:31:27:468	william	clay=2; ore=0; sheep=1; wheat=2; wood=3; unknown=0; knights=3; dev-cards=1	roads=[116,135; 135,134; 134,150; 150,166; 166,132]; settlements=[116,182; 182,148]; cities=[150,152]	kk	 	 
844	21:31:33:586	Server	 		tomas.kostan rolled a 4 and a 4.	 	 
845	21:31:33:587	Server	 		gotwood4sheep gets 4 wheat. ljaybrad123 gets 2 sheep. william gets 1 sheep.	 	 
846	21:31:56:745	tomas.kostan	clay=0; ore=0; sheep=1; wheat=2; wood=0; unknown=0; knights=2; dev-cards=1	roads=[118,52; 52,69; 69,35; 35,34; 34,50; 50,66]; settlements=[118,52; 52,86; 86,50]	anyone got some ore?	 	 
847	21:32:01:115	gotwood4sheep	clay=0; ore=2; sheep=0; wheat=6; wood=1; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[184,205; 205,186]; cities=[154,156]	nope sorry	 	 
848	21:32:01:880	william	clay=2; ore=0; sheep=2; wheat=2; wood=3; unknown=0; knights=3; dev-cards=1	roads=[116,135; 135,134; 134,150; 150,166; 166,132]; settlements=[116,182; 182,148]; cities=[150,152]	no	 	 
849	21:32:05:380	gotwood4sheep	clay=0; ore=2; sheep=0; wheat=6; wood=1; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[184,205; 205,186]; cities=[154,156]	i was hoping for ore	 	 
850	21:32:08:714	ljaybrad123	clay=1; ore=3; sheep=2; wheat=1; wood=0; unknown=0; knights=5; dev-cards=1	roads=[88,67; 67,105; 105,106; 106,71; 71,70; 70,107; 107,124; 124,140; 140,54; 54,37; 37,36]; cities=[84,105]	yep	 	 
851	21:32:09:658	gotwood4sheep	clay=0; ore=2; sheep=0; wheat=6; wood=1; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[184,205; 205,186]; cities=[154,156]	can offer wheat	 	 
852	21:32:11:713	ljaybrad123	clay=1; ore=3; sheep=2; wheat=1; wood=0; unknown=0; knights=5; dev-cards=1	roads=[88,67; 67,105; 105,106; 106,71; 71,70; 70,107; 107,124; 124,140; 140,54; 54,37; 37,36]; cities=[84,105]	for one wood?	 	 
853	21:32:18:498	gotwood4sheep	clay=0; ore=2; sheep=0; wheat=6; wood=1; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[184,205; 205,186]; cities=[154,156]	1 wood 2 wheat?	 	 
854	21:32:22:163	william	clay=2; ore=0; sheep=2; wheat=2; wood=3; unknown=0; knights=3; dev-cards=1	roads=[116,135; 135,134; 134,150; 150,166; 166,132]; settlements=[116,182; 182,148]; cities=[150,152]	dont do it	 	 
855	21:32:22:886	tomas.kostan	clay=0; ore=0; sheep=1; wheat=2; wood=0; unknown=0; knights=2; dev-cards=1	roads=[118,52; 52,69; 69,35; 35,34; 34,50; 50,66]; settlements=[118,52; 52,86; 86,50]	need ore for wheat	 	 
856	21:32:25:911	ljaybrad123	clay=1; ore=3; sheep=2; wheat=1; wood=0; unknown=0; knights=5; dev-cards=1	roads=[88,67; 67,105; 105,106; 106,71; 71,70; 70,107; 107,124; 124,140; 140,54; 54,37; 37,36]; cities=[84,105]	no	 	 
857	21:32:30:767	gotwood4sheep	clay=0; ore=2; sheep=0; wheat=6; wood=1; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[184,205; 205,186]; cities=[154,156]	1 wood 4 wheat?	 	 
858	21:32:43:251	tomas.kostan	clay=0; ore=0; sheep=1; wheat=2; wood=0; unknown=0; knights=2; dev-cards=1	roads=[118,52; 52,69; 69,35; 35,34; 34,50; 50,66]; settlements=[118,52; 52,86; 86,50]	sry don't want to end this game :)	 	 
859	21:32:47:436	gotwood4sheep	clay=0; ore=2; sheep=0; wheat=6; wood=1; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[184,205; 205,186]; cities=[154,156]	lol	 	 
860	21:32:49:131	Server	 		gotwood4sheep rolled a 5 and a 3.	 	 
861	21:32:49:132	Server	 		gotwood4sheep gets 4 wheat. ljaybrad123 gets 2 sheep. william gets 1 sheep.	 	 
862	21:32:51:481	ljaybrad123	clay=1; ore=3; sheep=4; wheat=1; wood=0; unknown=0; knights=5; dev-cards=1	roads=[88,67; 67,105; 105,106; 106,71; 71,70; 70,107; 107,124; 124,140; 140,54; 54,37; 37,36]; cities=[84,105]	im confused	 	 
863	21:32:56:193	Server	 		gotwood4sheep traded 2 wheat for 1 ore from a port.	 	 
864	21:32:58:866	Server	 		gotwood4sheep built a city.	 	 
865	21:33:00:867	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=6; wood=1; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[205,186]; cities=[154,156; 156,184]	gg all	 	 
866	21:33:05:282	ljaybrad123	clay=1; ore=3; sheep=4; wheat=1; wood=0; unknown=0; knights=5; dev-cards=1	roads=[88,67; 67,105; 105,106; 106,71; 71,70; 70,107; 107,124; 124,140; 140,54; 54,37; 37,36]; cities=[84,105]	well done	 	 
867	21:33:08:185	ljaybrad123	clay=1; ore=3; sheep=4; wheat=1; wood=0; unknown=0; knights=5; dev-cards=1	roads=[88,67; 67,105; 105,106; 106,71; 71,70; 70,107; 107,124; 124,140; 140,54; 54,37; 37,36]; cities=[84,105]	taht was close	 	 
868	21:33:09:784	william	clay=2; ore=0; sheep=3; wheat=2; wood=3; unknown=0; knights=3; dev-cards=1	roads=[116,135; 135,134; 134,150; 150,166; 166,132]; settlements=[116,182; 182,148]; cities=[150,152]	how?	 	 
869	21:33:10:464	tomas.kostan	clay=0; ore=0; sheep=1; wheat=2; wood=0; unknown=0; knights=2; dev-cards=1	roads=[118,52; 52,69; 69,35; 35,34; 34,50; 50,66]; settlements=[118,52; 52,86; 86,50]	congrats :)	 	 
870	21:33:12:330	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=6; wood=1; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[205,186]; cities=[154,156; 156,184]	ty close game.& battling those roads :D	 	 
871	21:33:13:995	william	clay=2; ore=0; sheep=3; wheat=2; wood=3; unknown=0; knights=3; dev-cards=1	roads=[116,135; 135,134; 134,150; 150,166; 166,132]; settlements=[116,182; 182,148]; cities=[150,152]	nice one	 	 
872	21:33:20:588	ljaybrad123	clay=1; ore=3; sheep=4; wheat=1; wood=0; unknown=0; knights=5; dev-cards=1	roads=[88,67; 67,105; 105,106; 106,71; 71,70; 70,107; 107,124; 124,140; 140,54; 54,37; 37,36]; cities=[84,105]	ill win next time :D	 	 
873	21:33:21:657	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=6; wood=1; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[205,186]; cities=[154,156; 156,184]	not rolling a 7& there was a win for me	 	 
874	21:33:24:557	ljaybrad123	clay=1; ore=3; sheep=4; wheat=1; wood=0; unknown=0; knights=5; dev-cards=1	roads=[88,67; 67,105; 105,106; 106,71; 71,70; 70,107; 107,124; 124,140; 140,54; 54,37; 37,36]; cities=[84,105]	enjoy the film	 	 
875	21:33:30:912	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=6; wood=1; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[205,186]; cities=[154,156; 156,184]	it's been on 30mins	 	 
876	21:33:33:375	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=6; wood=1; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[205,186]; cities=[154,156; 156,184]	won't make it in time :D	 	 
877	21:33:37:367	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=6; wood=1; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[205,186]; cities=[154,156; 156,184]	lucky they were free tickets	 	 
878	21:33:42:572	william	clay=2; ore=0; sheep=3; wheat=2; wood=3; unknown=0; knights=3; dev-cards=1	roads=[116,135; 135,134; 134,150; 150,166; 166,132]; settlements=[116,182; 182,148]; cities=[150,152]	^^ they'll let you in won't they	 	 
879	21:33:46:391	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=6; wood=1; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[205,186]; cities=[154,156; 156,184]	I'll speak to Markus about this 5th person who doesn't email	 	 
880	21:33:52:787	william	clay=2; ore=0; sheep=3; wheat=2; wood=3; unknown=0; knights=3; dev-cards=1	roads=[116,135; 135,134; 134,150; 150,166; 166,132]; settlements=[116,182; 182,148]; cities=[150,152]	thx	 	 
881	21:33:55:205	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=6; wood=1; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[205,186]; cities=[154,156; 156,184]	nah, I'll skip it. & It's a 15min walk to the cameo	 	 
882	21:34:10:636	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=6; wood=1; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[205,186]; cities=[154,156; 156,184]	I think we should ask for the reserve to swap in& if we don't hear from them over the weekend	 	 
883	21:34:19:403	tomas.kostan	clay=0; ore=0; sheep=1; wheat=2; wood=0; unknown=0; knights=2; dev-cards=1	roads=[118,52; 52,69; 69,35; 35,34; 34,50; 50,66]; settlements=[118,52; 52,86; 86,50]	yeah i agree	 	 
884	21:34:20:834	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=6; wood=1; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[205,186]; cities=[154,156; 156,184]	so we can get some games on next week maybe	 	 
885	21:34:34:748	william	clay=2; ore=0; sheep=3; wheat=2; wood=3; unknown=0; knights=3; dev-cards=1	roads=[116,135; 135,134; 134,150; 150,166; 166,132]; settlements=[116,182; 182,148]; cities=[150,152]	see you next week then	 	 
