ID	Timestamp	Emitter	Resources	Buildups	Text	Annotation	Comment
465	20:53:07:610	Server	 		william rolled a 6 and a 6.	 	 
466	20:53:07:611	Server	 		No player gets anything.	 	 
467	20:53:23:908	william	clay=0; ore=1; sheep=1; wheat=3; wood=2; unknown=0; knights=2; dev-cards=1	roads=[116,135; 135,134; 134,150; 150,166]; settlements=[116,152; 152,150; 150,182]	can i have someone's ore?	 	 
468	20:53:27:950	ljaybrad123	clay=0; ore=0; sheep=0; wheat=0; wood=1; unknown=0; knights=3; dev-cards=0	roads=[88,67; 67,105; 105,106; 106,71; 71,70; 70,107]; settlements=[105,107]	nope	 	 
469	20:53:28:621	gotwood4sheep	clay=0; ore=0; sheep=2; wheat=0; wood=1; unknown=0; knights=1; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188]; settlements=[184,156]	no ore here sorry	 	 
470	20:53:32:443	gotwood4sheep	clay=0; ore=0; sheep=2; wheat=0; wood=1; unknown=0; knights=1; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188]; settlements=[184,156]	hey where is everyone from?	 	 
471	20:53:34:623	gotwood4sheep	clay=0; ore=0; sheep=2; wheat=0; wood=1; unknown=0; knights=1; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188]; settlements=[184,156]	I'm UK	 	 
472	20:53:37:340	william	clay=0; ore=1; sheep=1; wheat=3; wood=2; unknown=0; knights=2; dev-cards=1	roads=[116,135; 135,134; 134,150; 150,166]; settlements=[116,152; 152,150; 150,182]	Germany	 	 
473	20:53:38:198	tomas.kostan	clay=0; ore=0; sheep=0; wheat=0; wood=2; unknown=0; knights=0; dev-cards=1	roads=[118,52; 52,69]; settlements=[118,52; 52,86]	sry no ore in here either	 	 
474	20:53:38:837	ljaybrad123	clay=0; ore=0; sheep=0; wheat=0; wood=1; unknown=0; knights=3; dev-cards=0	roads=[88,67; 67,105; 105,106; 106,71; 71,70; 70,107]; settlements=[105,107]	uk :)	 	 
475	20:53:44:349	tomas.kostan	clay=0; ore=0; sheep=0; wheat=0; wood=2; unknown=0; knights=0; dev-cards=1	roads=[118,52; 52,69]; settlements=[118,52; 52,86]	slovakia :)	 	 
476	20:53:52:468	Server	 		tomas.kostan rolled a 3 and a 2.	 	 
477	20:53:52:469	Server	 		gotwood4sheep gets 2 ore. ljaybrad123 gets 1 ore. william gets 1 wood.	 	 
478	20:53:56:311	ljaybrad123	clay=0; ore=1; sheep=0; wheat=0; wood=1; unknown=0; knights=3; dev-cards=0	roads=[88,67; 67,105; 105,106; 106,71; 71,70; 70,107]; settlements=[105,107]	from the oh so beautiful lancashire :p	 	 
479	20:54:01:288	ljaybrad123	clay=0; ore=1; sheep=0; wheat=0; wood=1; unknown=0; knights=3; dev-cards=0	roads=[88,67; 67,105; 105,106; 106,71; 71,70; 70,107]; settlements=[105,107]	live in the burgh	 	 
480	20:54:05:617	Server	 		gotwood4sheep rolled a 2 and a 6.	 	 
481	20:54:05:618	Server	 		gotwood4sheep gets 3 wheat. ljaybrad123 gets 2 sheep. william gets 1 sheep.	 	 
482	20:54:07:303	gotwood4sheep	clay=0; ore=2; sheep=2; wheat=3; wood=1; unknown=0; knights=1; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188]; settlements=[184,156]	I'm from Somerset,& near Cheddar (where teh cheese is from)	 	 
483	20:54:24:025	william	clay=0; ore=0; sheep=1; wheat=2; wood=3; unknown=0; knights=2; dev-cards=2	roads=[116,135; 135,134; 134,150; 150,166]; settlements=[116,152; 152,150; 150,182]	I am from Frankfurt	 	 
484	20:54:28:394	ljaybrad123	clay=0; ore=1; sheep=2; wheat=0; wood=1; unknown=0; knights=3; dev-cards=0	roads=[88,67; 67,105; 105,106; 106,71; 71,70; 70,107]; settlements=[105,107]	i mis somerset!	 	 
485	20:54:41:684	gotwood4sheep	clay=0; ore=2; sheep=2; wheat=3; wood=1; unknown=0; knights=1; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188]; settlements=[184,156]	anyone got ore for sheep/wheat?	 	 
486	20:54:48:046	william	clay=0; ore=0; sheep=1; wheat=2; wood=3; unknown=0; knights=2; dev-cards=2	roads=[116,135; 135,134; 134,150; 150,166]; settlements=[116,152; 152,150; 150,182]	no	 	 
487	20:54:52:408	tomas.kostan	clay=0; ore=0; sheep=0; wheat=0; wood=2; unknown=0; knights=0; dev-cards=1	roads=[118,52; 52,69]; settlements=[118,52; 52,86]	nope	 	 
488	20:56:27:904	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=1; wood=1; unknown=0; knights=1; dev-cards=2	roads=[154,168; 168,138; 138,139; 139,171; 171,188]; settlements=[184,156]	your roll, laura!	 	 
489	20:56:51:339	william	clay=0; ore=0; sheep=1; wheat=2; wood=3; unknown=0; knights=2; dev-cards=2	roads=[116,135; 135,134; 134,150; 150,166]; settlements=[116,152; 152,150; 150,182]	maybe she's disconnected...	 	 
490	20:57:11:723	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=1; wood=1; unknown=0; knights=1; dev-cards=2	roads=[154,168; 168,138; 138,139; 139,171; 171,188]; settlements=[184,156]	darn,& i have to leave very soon... ...	 	 
491	20:57:19:412	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=1; wood=1; unknown=0; knights=1; dev-cards=2	roads=[154,168; 168,138; 138,139; 139,171; 171,188]; settlements=[184,156]	like 12 mins tops!	 	 
492	20:57:31:039	william	clay=0; ore=0; sheep=1; wheat=2; wood=3; unknown=0; knights=2; dev-cards=2	roads=[116,135; 135,134; 134,150; 150,166]; settlements=[116,152; 152,150; 150,182]	hmm. lj is about to win anyway.	 	 
493	20:57:51:410	tomas.kostan	clay=0; ore=0; sheep=0; wheat=0; wood=2; unknown=0; knights=0; dev-cards=1	roads=[118,52; 52,69]; settlements=[118,52; 52,86]	i am not so sure..	 	 
494	20:57:56:366	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=1; wood=1; unknown=0; knights=1; dev-cards=2	roads=[154,168; 168,138; 138,139; 139,171; 171,188]; settlements=[184,156]	let's give her a couple of mins	 	 
495	20:58:02:534	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=1; wood=1; unknown=0; knights=1; dev-cards=2	roads=[154,168; 168,138; 138,139; 139,171; 171,188]; settlements=[184,156]	to try and reconnect	 	 
496	20:58:09:165	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=1; wood=1; unknown=0; knights=1; dev-cards=2	roads=[154,168; 168,138; 138,139; 139,171; 171,188]; settlements=[184,156]	but I need to be at the cameo by 9.20	 	 
497	20:58:16:404	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=1; wood=1; unknown=0; knights=1; dev-cards=2	roads=[154,168; 168,138; 138,139; 139,171; 171,188]; settlements=[184,156]	and that means leaving in about 10mins :/	 	 
498	20:58:24:491	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=1; wood=1; unknown=0; knights=1; dev-cards=2	roads=[154,168; 168,138; 138,139; 139,171; 171,188]; settlements=[184,156]	darn competitions!	 	 
499	20:58:30:798	tomas.kostan	clay=0; ore=0; sheep=0; wheat=0; wood=2; unknown=0; knights=0; dev-cards=1	roads=[118,52; 52,69]; settlements=[118,52; 52,86]	i don't think this will end by then	 	 
500	20:58:33:077	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=1; wood=1; unknown=0; knights=1; dev-cards=2	roads=[154,168; 168,138; 138,139; 139,171; 171,188]; settlements=[184,156]	getting lucky in the wrong game at the wrong time, i am	 	 
501	20:58:53:881	william	clay=0; ore=0; sheep=1; wheat=2; wood=3; unknown=0; knights=2; dev-cards=2	roads=[116,135; 135,134; 134,150; 150,166]; settlements=[116,152; 152,150; 150,182]	well. if lj can't fix her current problem,& we can't finish this game anways	 	 
502	20:59:15:726	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=1; wood=1; unknown=0; knights=1; dev-cards=2	roads=[154,168; 168,138; 138,139; 139,171; 171,188]; settlements=[184,156]	we may have to call it a practice run	 	 
503	20:59:17:331	tomas.kostan	clay=0; ore=0; sheep=0; wheat=0; wood=2; unknown=0; knights=0; dev-cards=1	roads=[118,52; 52,69]; settlements=[118,52; 52,86]	then we will have to replay the game?	 	 
504	20:59:19:166	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=1; wood=1; unknown=0; knights=1; dev-cards=2	roads=[154,168; 168,138; 138,139; 139,171; 171,188]; settlements=[184,156]	do it in earnest next week	 	 
505	20:59:39:091	william	clay=0; ore=0; sheep=1; wheat=2; wood=3; unknown=0; knights=2; dev-cards=2	roads=[116,135; 135,134; 134,150; 150,166]; settlements=[116,152; 152,150; 150,182]	sure	 	 
506	20:59:47:537	ljaybrad123	clay=0; ore=1; sheep=2; wheat=0; wood=1; unknown=0; knights=3; dev-cards=0	roads=[88,67; 67,105; 105,106; 106,71; 71,70; 70,107]; settlements=[105,107]	sorry	 	 
