ID	Timestamp	Emitter	Resources	Buildups	Text	Annotation	Comment
763	21:23:45:324	Server	 		ljaybrad123 rolled a 5 and a 4.	 	 
764	21:23:45:325	Server	 		gotwood4sheep gets 1 wheat. ljaybrad123 gets 2 ore. william gets 3 wheat.	 	 
765	21:24:00:702	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=3; wood=0; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[184,205; 205,186]; cities=[154,156]	william, you are wheatylicious over there	 
766	21:24:03:844	ljaybrad123	clay=0; ore=2; sheep=4; wheat=2; wood=0; unknown=0; knights=5; dev-cards=1	roads=[88,67; 67,105; 105,106; 106,71; 71,70; 70,107; 107,124; 124,140; 140,54; 54,37]; settlements=[105,107]	anyone got ore or wood or clay?	 	 
767	21:24:10:853	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=3; wood=0; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[184,205; 205,186]; cities=[154,156]	so much wheat you're getting bloated :D	 	 
768	21:24:18:339	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=3; wood=0; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[184,205; 205,186]; cities=[154,156]	none of those, sorry :(	 	 
769	21:24:28:149	tomas.kostan	clay=2; ore=0; sheep=2; wheat=2; wood=3; unknown=0; knights=1; dev-cards=3	roads=[118,52; 52,69]; settlements=[118,52; 52,86]	i got some clay	 	 
770	21:24:39:591	ljaybrad123	clay=0; ore=2; sheep=4; wheat=2; wood=0; unknown=0; knights=5; dev-cards=1	roads=[88,67; 67,105; 105,106; 106,71; 71,70; 70,107; 107,124; 124,140; 140,54; 54,37]; settlements=[105,107]	tomas 1 clay for 1 sheep?	 	 
771	21:24:44:395	tomas.kostan	clay=2; ore=0; sheep=2; wheat=2; wood=3; unknown=0; knights=1; dev-cards=3	roads=[118,52; 52,69]; settlements=[118,52; 52,86]	need ore	 	 
772	21:24:57:684	ljaybrad123	clay=0; ore=2; sheep=4; wheat=2; wood=0; unknown=0; knights=5; dev-cards=1	roads=[88,67; 67,105; 105,106; 106,71; 71,70; 70,107; 107,124; 124,140; 140,54; 54,37]; settlements=[105,107]	i has not enough	 	 
773	21:25:07:198	tomas.kostan	clay=2; ore=0; sheep=2; wheat=2; wood=3; unknown=0; knights=1; dev-cards=3	roads=[118,52; 52,69]; settlements=[118,52; 52,86]	ok no trade then	 	 
774	21:25:13:222	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=3; wood=0; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[184,205; 205,186]; cities=[154,156]	y'all have a lot of resource.&  I have to admit I wouldn't weep& if i saw a 7...	 	 
775	21:25:20:103	Server	 		ljaybrad123 traded 4 sheep for 1 clay, 1 wood from a port.	 	 
776	21:25:25:191	Server	 		ljaybrad123 built a road.	 	 
777	21:25:38:131	ljaybrad123	clay=0; ore=2; sheep=0; wheat=2; wood=0; unknown=0; knights=5; dev-cards=1	roads=[88,67; 67,105; 105,106; 106,71; 71,70; 70,107; 107,124; 124,140; 140,54; 54,37; 37,36]; settlements=[105,107]	anyone have a sheep?	 	 
778	21:25:42:810	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=3; wood=0; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[184,205; 205,186]; cities=[154,156]	no sheep sorry	 	 
779	21:25:44:075	william	clay=2; ore=0; sheep=1; wheat=7; wood=3; unknown=0; knights=3; dev-cards=1	roads=[116,135; 135,134; 134,150; 150,166; 166,132]; settlements=[116,152; 152,182; 182,148]	yes	 	 
780	21:25:50:756	william	clay=2; ore=0; sheep=1; wheat=7; wood=3; unknown=0; knights=3; dev-cards=1	roads=[116,135; 135,134; 134,150; 150,166; 166,132]; settlements=[116,152; 152,182; 182,148]	for 2 wheat?	 	 
781	21:25:57:064	ljaybrad123	clay=0; ore=2; sheep=0; wheat=2; wood=0; unknown=0; knights=5; dev-cards=1	roads=[88,67; 67,105; 105,106; 106,71; 71,70; 70,107; 107,124; 124,140; 140,54; 54,37; 37,36]; settlements=[105,107]	william 1 wheat	 	 
782	21:26:03:366	william	clay=2; ore=0; sheep=1; wheat=7; wood=3; unknown=0; knights=3; dev-cards=1	roads=[116,135; 135,134; 134,150; 150,166; 166,132]; settlements=[116,152; 152,182; 182,148]	no sry	 	 
783	21:26:16:764	ljaybrad123	clay=0; ore=2; sheep=0; wheat=2; wood=0; unknown=0; knights=5; dev-cards=1	roads=[88,67; 67,105; 105,106; 106,71; 71,70; 70,107; 107,124; 124,140; 140,54; 54,37; 37,36]; settlements=[105,107]	1 ore 1 wheat?	 	 
784	21:26:19:708	william	clay=2; ore=0; sheep=1; wheat=7; wood=3; unknown=0; knights=3; dev-cards=1	roads=[116,135; 135,134; 134,150; 150,166; 166,132]; settlements=[116,152; 152,182; 182,148]	k	 	 
785	21:26:29:269	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=3; wood=0; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[184,205; 205,186]; cities=[154,156]	hard bargains at this table!	 	 
786	21:26:34:581	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=3; wood=0; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[184,205; 205,186]; cities=[154,156]	Is this the theme we are setting?	 	 
787	21:26:36:648	Server	 		william rolled a 6 and a 3.	 	 
788	21:26:36:649	Server	 		gotwood4sheep gets 1 wheat. ljaybrad123 gets 2 ore. william gets 3 wheat.	 	 
789	21:26:39:197	ljaybrad123	clay=0; ore=4; sheep=0; wheat=2; wood=0; unknown=0; knights=5; dev-cards=1	roads=[88,67; 67,105; 105,106; 106,71; 71,70; 70,107; 107,124; 124,140; 140,54; 54,37; 37,36]; settlements=[105,107]	oh yes	 	 
790	21:26:47:812	ljaybrad123	clay=0; ore=4; sheep=0; wheat=2; wood=0; unknown=0; knights=5; dev-cards=1	roads=[88,67; 67,105; 105,106; 106,71; 71,70; 70,107; 107,124; 124,140; 140,54; 54,37; 37,36]; settlements=[105,107]	what happened?	 	 
791	21:26:48:579	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=4; wood=0; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[184,205; 205,186]; cities=[154,156]	william, you are rich!	 	 
792	21:27:00:483	william	clay=2; ore=0; sheep=1; wheat=10; wood=3; unknown=0; knights=3; dev-cards=1	roads=[116,135; 135,134; 134,150; 150,166; 166,132]; settlements=[116,152; 152,182; 182,148]	lj you still want to trade now?	 	 
793	21:27:05:361	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=4; wood=0; unknown=0; knights=2; dev-cards=0	roads=[154,168; 168,138; 138,139; 139,171; 171,188; 188,204; 204,203; 203,186; 186,169; 169,202]; settlements=[184,205; 205,186]; cities=[154,156]	haha	 	 
794	21:27:08:954	ljaybrad123	clay=0; ore=4; sheep=0; wheat=2; wood=0; unknown=0; knights=5; dev-cards=1	roads=[88,67; 67,105; 105,106; 106,71; 71,70; 70,107; 107,124; 124,140; 140,54; 54,37; 37,36]; settlements=[105,107]	it just stopped my go...	 	 
