ID	Timestamp	Emitter	Resources	Buildups	Text	Annotation	Comment
119	20:23:22:923	Server	 		tomas.kostan rolled a 3 and a 1.	 	 
120	20:23:22:925	Server	 		ljaybrad123 gets 1 wood. tomas.kostan gets 1 clay.	 	 
121	20:23:38:219	william	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0	roads=[139,71; 71,156]; settlements=[139,88; 88,173]	there's your wood ;)	 	 
122	20:23:55:282	tomas.kostan	clay=4; ore=0; sheep=4; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,168; 168,105]; settlements=[120,169]	do you have one for trade?	 	 
123	20:24:04:739	william	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0	roads=[139,71; 71,156]; settlements=[139,88; 88,173]	lj does :)	 	 
124	20:24:06:816	ljaybrad123	clay=0; ore=0; sheep=3; wheat=1; wood=2; unknown=0; knights=0; dev-cards=0	roads=[100,67; 67,84; 84,116; 116,133; 133,134; 134,135]; settlements=[116,67]	I can spare a wood for clay	 	 
125	20:24:13:438	tomas.kostan	clay=4; ore=0; sheep=4; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,168; 168,105]; settlements=[120,169]	ok	 	 
126	20:24:19:188	Server	 		tomas.kostan made an offer to trade 1 clay for 1 wood.	 	 
127	20:24:26:302	ljaybrad123	clay=0; ore=0; sheep=3; wheat=1; wood=2; unknown=0; knights=0; dev-cards=0	roads=[100,67; 67,84; 84,116; 116,133; 133,134; 134,135]; settlements=[116,67]	wrong colour :p	 	 
128	20:24:29:571	tomas.kostan	clay=4; ore=0; sheep=4; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,168; 168,105]; settlements=[120,169]	sry...	 	 
129	20:24:34:918	Server	 		tomas.kostan made an offer to trade 1 clay for 1 wood.	 	 
130	20:24:38:518	Server	 		tomas.kostan traded 1 clay for 1 wood from ljaybrad123.	 	 
131	20:24:49:165	Server	 		tomas.kostan traded 4 sheep for 1 wood from the bank.	 	 
132	20:25:11:499	tomas.kostan	clay=3; ore=0; sheep=0; wheat=0; wood=2; unknown=0; knights=0; dev-cards=0	roads=[104,168; 168,105]; settlements=[120,169]	how to trade with the bank? & does not work for me	 	 
133	20:25:21:488	ljaybrad123	clay=1; ore=0; sheep=3; wheat=1; wood=1; unknown=0; knights=0; dev-cards=0	roads=[100,67; 67,84; 84,116; 116,133; 133,134; 134,135]; settlements=[116,67]	trade with bank/port	 	 
134	20:25:23:732	tomas.kostan	clay=3; ore=0; sheep=0; wheat=0; wood=2; unknown=0; knights=0; dev-cards=0	roads=[104,168; 168,105]; settlements=[120,169]	ok worked	 	 
135	20:25:27:650	ljaybrad123	clay=1; ore=0; sheep=3; wheat=1; wood=1; unknown=0; knights=0; dev-cards=0	roads=[100,67; 67,84; 84,116; 116,133; 133,134; 134,135]; settlements=[116,67]	but has to be 4:1	 	 
136	20:25:32:434	Server	 		tomas.kostan built a road.	 	 
137	20:25:35:282	Server	 		tomas.kostan built a road.	 	 
138	20:25:43:455	Server	 		ljaybrad123 rolled a 3 and a 5.	 	 
139	20:25:43:457	Server	 		ljaybrad123 gets 2 sheep. william gets 2 wheat.	 	 
140	20:25:59:384	Server	 		ljaybrad123 built a settlement.	 	 
