ID	Timestamp	Emitter	Resources	Buildups	Text	Annotation	Comment
291	21:04:07:956	Server	 		IG rolled a 3 and a 4.
292	21:04:49:599	skinnylinny	clay=0; ore=3; sheep=0; wheat=0; wood=1; unknown=0; knights=0; dev-cards=0	roads=[100,69; 69,52; 52,101; 101,116; 116,133; 133,150]; settlements=[116,86; 86,52; 52,167]	Grrrrr
293	21:05:07:074	skinnylinny	clay=0; ore=3; sheep=0; wheat=0; wood=1; unknown=0; knights=0; dev-cards=0	roads=[100,69; 69,52; 52,101; 101,116; 116,133; 133,150]; settlements=[116,86; 86,52; 52,167]	I don't like this die
294	21:05:24:555	sabercat	clay=0; ore=0; sheep=0; wheat=0; wood=1; unknown=0; knights=2; dev-cards=4	roads=[88,122; 122,139; 139,156]; settlements=[88,139; 139,173]	:D well... its biased
295	21:05:28:651	Server	 		skinnylinny rolled a 5 and a 6.
296	21:05:28:651	Server	 		IG gets 1 clay. skinnylinny gets 2 wood.
297	21:05:38:185	IG	clay=3; ore=3; sheep=1; wheat=0; wood=1; unknown=0; knights=4; dev-cards=0	roads=[103,84; 84,102; 102,118; 118,135]; settlements=[120,84]	It hates you I'm afraid
298	21:05:44:119	skinnylinny	clay=0; ore=3; sheep=0; wheat=0; wood=2; unknown=0; knights=0; dev-cards=0	roads=[100,69; 69,52; 52,101; 101,116; 116,133; 133,150]; settlements=[116,86; 86,52; 52,167]	Seemingly so!
299	21:05:50:244	Server	 		sabercat rolled a 1 and a 5.
300	21:05:50:245	Server	 		sabercat gets 1 clay. IG gets 1 clay. skinnylinny gets 1 clay, 1 wheat.
301	21:05:58:338	Server	 		sabercat built a road.
302	21:06:09:977	Server	 		IG rolled a 6 and a 1.
303	21:06:27:474	IG	clay=2; ore=1; sheep=1; wheat=0; wood=1; unknown=0; knights=4; dev-cards=0	roads=[103,84; 84,102; 102,118; 118,135]; settlements=[120,84]	I feel your pain
304	21:06:56:456	Server	 		IG built a road.
305	21:07:06:167	Server	 		skinnylinny rolled a 6 and a 3.
306	21:07:06:168	Server	 		sabercat gets 1 wood. skinnylinny gets 1 clay.
307	21:07:32:092	Server	 		skinnylinny built a road.
308	21:07:36:466	Server	 		skinnylinny built a road.
309	21:07:42:112	sabercat	clay=0; ore=0; sheep=0; wheat=0; wood=1; unknown=0; knights=2; dev-cards=4	roads=[88,122; 122,139; 139,156; 156,105]; settlements=[88,139; 139,173]	the cat pic is gorgeous!
310	21:07:44:538	skinnylinny	clay=0; ore=2; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[100,69; 69,52; 52,101; 101,116; 116,133; 133,150; 150,167; 167,184]; settlements=[116,86; 86,52; 52,167]	:D
311	21:08:16:984	Server	 		sabercat rolled a 1 and a 3.
312	21:08:16:984	Server	 		IG gets 1 wheat. skinnylinny gets 1 wheat.
313	21:08:28:111	Server	 		IG rolled a 1 and a 5.
314	21:08:28:112	Server	 		sabercat gets 1 clay. IG gets 1 clay. skinnylinny gets 1 clay, 1 wheat.
